2024-12-14 14:42:29,187 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Configure stats pid to 63441
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Loading settings from /root/.config/wandb/settings
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Loading settings from /root/autodl-tmp/p01_code/projection_predict/wandb/settings
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'online', '_disable_service': None}
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'projection_predict/main.py', 'program_abspath': '/root/autodl-tmp/p01_code/projection_predict/main.py', 'program': '/root/autodl-tmp/p01_code/projection_predict/main.py'}
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-14 14:42:29,188 INFO    MainThread:63441 [wandb_init.py:_log_setup():533] Logging user logs to /root/autodl-tmp/p01_code/projection_predict/wandb/run-20241214_144229-gdlb7p44/logs/debug.log
2024-12-14 14:42:29,189 INFO    MainThread:63441 [wandb_init.py:_log_setup():534] Logging internal logs to /root/autodl-tmp/p01_code/projection_predict/wandb/run-20241214_144229-gdlb7p44/logs/debug-internal.log
2024-12-14 14:42:29,189 INFO    MainThread:63441 [wandb_init.py:init():619] calling init triggers
2024-12-14 14:42:29,189 INFO    MainThread:63441 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'exp_id': 'EXP_2024.12.1.9', 'exp_name': 'MSE', 'exp_group': 'stage_8-16', 'data_path': '/root/autodl-tmp/shared_data/projection/raw', 'net': 'unet', 'device': 'cuda', 'epochs': 600, 'batch_size': 16, 'lr': 0.0002, 'scheduler': True, 'tmax': 20, 'dropout': 0.0, 'early_stop': True, 'patience': 15, 'if_load_weight': False, 'check_point': 0, 'stage': '8-16', 'norm': False, 'loss_method': 'MSE', 'if_extraction': False, 'if_infer': False, 'wandb': 'online'}
2024-12-14 14:42:29,189 INFO    MainThread:63441 [wandb_init.py:init():669] starting backend
2024-12-14 14:42:29,189 INFO    MainThread:63441 [wandb_init.py:init():673] sending inform_init request
2024-12-14 14:42:29,192 INFO    MainThread:63441 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-14 14:42:29,193 INFO    MainThread:63441 [wandb_init.py:init():686] backend started and connected
2024-12-14 14:42:29,199 INFO    MainThread:63441 [wandb_init.py:init():781] updated telemetry
2024-12-14 14:42:29,209 INFO    MainThread:63441 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-14 14:42:30,678 INFO    MainThread:63441 [wandb_init.py:init():867] starting run threads in backend
2024-12-14 14:42:30,922 INFO    MainThread:63441 [wandb_run.py:_console_start():2456] atexit reg
2024-12-14 14:42:30,923 INFO    MainThread:63441 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-14 14:42:30,923 INFO    MainThread:63441 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-14 14:42:30,923 INFO    MainThread:63441 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-14 14:42:30,927 INFO    MainThread:63441 [wandb_init.py:init():911] run started, returning control to user process
2024-12-14 14:42:36,614 WARNING MsgRouterThr:63441 [router.py:message_loop():75] message_loop has been closed
